page,fbid
Diamond Cross Ranch in Jackson Hole,233704050124056
Diamond Design NL,173141329402901
Diamond Engraved,507572792962823
Diamond Gallery,108203381750
Diamond T Cattle Co.,599346593415420
Diamond and Diamond Lawyers LLP,485318794899297
Diamonds & Millionaires Clothing Co.,234695203279813
Diamonds of Detroit,195815410061
Diana Panton,371214929580237
Diana- Princess of Wales,113101655220
Diane Birch,53151215305
"Diane Dallaire, mairesse de Rouyn-Noranda",435507546566313
Diane Finley,1178319335516699
Diane Lamarre,843157719033918
Diane Lebouthillier,1114667701881963
Diane Tell,59616326819
Diane Warren Fan Talk,176214662414406
Dianela Castillo,100050590594737
Dianne Body Music,576385242484665
Dianne's Fish Shack & Smokehouse,619835081404480
Diary of Kept Woman 2,101281118002330
Diaspora Canadocamerounaise,2159712554270045
Diaspora Katangaise - Desiré kayumba,279476028837091
Dice Iida-Klein,426648300729099
Dickie's Cause 4 Paws -kitten rescue,265114123683648
Dicks and Company Basics,143612892343573
Did You Know? Aya Meydanestid?,582425941852445
Didier Lambert,731230876983741
Didier Orméjuste,100816247170212
Didsbury Fire Department,547808745395253
Die Mannequin,100050188612741
Diefenbunker: Canada's Cold War Museum,277229495273
Diego Saul Reyna,1744564602422397
Diemonds,100045934530823
Diesel Spec,286708578056480
Diesel Spec - Agriculture Division,1551280905089091
Dietitians of Canada,115466490249
Dietrich Law,456859551170680
Digawolf,173712899342933
Digby Area Tourism,131290530227798
Digby Pines Golf Resort and Spa,110866498942733
Diggstown on CBC,456989001377480
DigiBean,281904078689
Digital Extremes,266474353460
Digital Freedom Movement,218247119090032
Digital Journal,67175109350
Digital Marketing Academy of Canada,475023189326978
Digital Mimbar,450393508345740
Digital Motion BC,168986586448193
Digital Opportunity Trust,141838845875008
Digital Plus,108541502519513
Digital Project Manager,161410383966922
Dignity Health Global Education - DHGE,369958250486988
Dignity Network Canada / Réseau Dignité Canada,1469048603385293
Dil Jan Entertainment,108131650956132
Dil Se Aur Sirf Dil Se,338298786350886
Dilemma [conciertos],181981408679
Diljott,100044562693874
Dillin Hoox,183379039257
DillyBat,137017396321111
Dilpreet Kaur,294580663980140
Dilraz Sidhu,162324967273780
Dimash around the World,237725756632628
Dime Mtl,146654402175233
Dimitri's Souvlaki Restaurant,133782709972864
Dimpflmeier Bakery,151824521502333
Dimplex North America,98055666827
Dimuth K,496112523806011
Dina Goldstein,100044356997441
Dinah Jane,320583358339522
Dine Alone Records,7746305847
Dine Out Vancouver Festival,419372471508601
Diner En Blanc - West Palm Beach,358307141025457
Diner en Blanc - Greenville,107371394155640
Diner en Blanc - Wilmington,1976460805946428
Dinette magazine,728951713900298
Dingwall Guitars,107926182564527
Dini Petty,745863958852816
Dinner With A View,378250349635328
Dino Buddies,1898789320381660
Dino Dana,104125209688032
Dino Lab Inc.,371457436977749
Dino Tomic,663545903657994
Dinosaur,111338170725492
Dinosaur Comics,10136429103
Dinosaurs Will Die Snowboards,115544665171379
Diocèse de Kpalimé,263126490564044
Diocèse de Saint-Jean-Longueuil,239714012563
Diogo Ramos Music,1092783960818742
Diolo Traiteur,539552732769140
DionYorkie,117987148892009
Dios sabe lo que hace,680272038673400
Dipika Damerla,568115570021217
Diply,271915499553486
Diply Facts,237061956027
Diply Hello,1771525429746886
Diply Humor,174446452713479
Diply Tech,173678916107053
Diply Trending,491750840875537
Diply Video,1652693918301554
Diplômés de l'UQAM,147051605361766
Dippity-do,113916958686868
Dire Straits,546820518733322
Dire Times Media,1876234789303604
Direct,210231825663448
Direct Action Everywhere Toronto,1563318063911559
DirectFood.store,103840414643139
Direction Régionale de la Santé Guelmim-Ouednoun,241951822834538
Direction de santé publique de la Montérégie,466153990404430
Directwest,1731035613870948
Dirt Road Angels,649529258409286
Dirt Road Opera,1128545903876873
Dirt Series Mountain Bike Camps,269152057772
Dirt Trax Television,289273945408
Dirty Coast,6107254790
Dirty Dogs,393786950733824
Dirty Feet - Trail Races,121236564603205
Dirty Frazier,246940718666410
Dirtybird Energy Soap,1640734156164821
Dirtyx3 gaming,2065460940132775
Dis Son Nom,104007051391518
Disability Alliance BC,163970939101
Disability Matters Vote,1517263471923952
Discernement.net - Place à la raison,249741418879723
Disciple Making International Ministry,248959031960792
Disco Donnie Presents,227330344038678
Discount Hawaii Car Rental,355117954932
DiscountWarehouse.ca,151405628818252
Discounts Canada,319985431811976
Discover Burlington Ontario,56109852291
Discover Canada Tours,323967936896
Discover Charlottetown,153737424653885
Discover Churchill,349669535217785
Discover Clarington,90027787117
Discover Comox Valley,189134684466134
Discover Downtown Langley,145909688869457
Discover Halifax,59752052279
Discover KIA,1486158834944532
Discover Langley City,129658757713941
Discover Listowel,1621065608176705
Discover Milton,110472495637205
Discover Naramata,311838325656780
Discover Saint John - Découvrez Saint John,177967695594138
Discover SciFi,402672969925996
Discover Shelburne County,299982461686
Discover Surrey,331411185062
DiscoverMooseJaw.com,200947915145
Discovery Canada,150545558292410
Discovery Centre,64137612942
Discovery Dream Homes - Log & Timberframe Homes,330647830812
Discovery House,483400055105706
Discovery Wildlife Park,19461577758
Dished Vancouver,121291731718123
Disney Fans Live Here,901237633370485
Disney Wonderful Worlds,100566234936599
DisneyBound,100044272037252
Dispatch Restaurant,202797586565971
Dispel Music,296081937490245
Disques 7ième Ciel,175214372520482
Distances+,814947251965562
Distillerie 3 Lacs,1872637249529773
Distillerie Vent Du Nord,414528752445407
Distillerie Wabasso,474955076236747
Distillerie de la Chaufferie,293260311191811
DistinctMotive,760883937270739
Distinctive Homes,953625618017571
Distorsion,582789251913146
Distribution 2020 - Division de Richelieu,554477198258321
Distribution Select,148441074471
Distribution alimentaire Aubut,134326923298224
District 1 Otterburn Park,152196325374929
District 31,1638112596450271
District 7 Production,183833505050892
District Central,1452314188122099
District of Hudson's Hope,208399229207422
District of Lake Country,128586163863484
District of Mission,682444455100665
District of Nipissing Paramedic Services,128792484446464
District of North Vancouver Fire and Rescue,402464909794614
District of North Vancouver Firefighters Charitable Society,246731972097927
District of Squamish,269525309818669
District of Summerland,175286382620350
District of Taylor,176274919142
District scolaire francophone Nord-Est,1476993889205562
District scolaire francophone Sud,334308983328469
Disturb The Dead,509082569111445
Ditch The Wheat,261954150541055
Dites Oui à la Robe - Robes De Bal À Québec,137708589656256
Ditidaht First Nation,613917939067380
Diva Decor and Dj Dani Comoros,802057473215431
DivaCup,14802388978
DiveSafe International,119160501505028
Diverge Media,104902117925822
Diversidades,1631479170452781
Divest McGill,509087915801190
Divine Clarity,146850041999065
Divine Design with Candice Olson,316108916551
Divine Flooring,142129112501168
Divine Renovation,1086987521389706
Divine TV,103411101299220
Diving,32590253908
Diving Plongeon Canada,321449894597080
Divinity,12560300399
Division Dépôt de la GRC,280188708723289
Division scolaire franco-manitobaine - DSFM,472987936215942
Divorce Magazine,211942088496
Divorcedmoms.com,104499839752246
Divya Raj,100044205230932
Dix-Iple Deca,143290135695503
Dixit Mada Company,100726504685375
Dixquatre.com,1475935466025661
Diyet Music,461541225001
Dizzy,601936196605371
Dj Addy,7561674302
Dj Afro,483697448665017
Dj Hedspin,164820120249385
Dj Kingpin 473,450977855044074
Dj Kleancut,1019461241416936
Dj Kookum,576091439224372
Dj Magic Flowz,131582924595
Dj Murge,133829789964478
Dj P2N Official,1117755898257824
Dj Plink,100045158641462
Dj Projix,1458336241148928
Dj Tchooko,1758680071075940
Dj Uppercut,118373144894490
Dj loonyo-ko,108238694179371
Djamboola Fitness International,233556340001282
Djely Tapa,674632012903655
Djibril Agi Officiel,633008870545936
Djshakur Mixtapes,118893511572325
Dluxes Étoiles d'or,1585084521618584
Dmak,284196198348532
Dmanyak TV,388705404536724
Dnb Girls,235213766543890
Dnevna doza prosečnog Srbende,773259149381076
Do Make Say Think,272471489539539
Do The Daniel,263290293827278
Do What Matters,100044635320173
DoYogaWithMe.com,139875892713259
Doane Uschool,758591217526440
Dobber Sports,209434865757831
Doble A nc Beats,225930947490107
Doc Walker,100044657797409
Docherty's Fish'n Chips & Wee Pub,138141256198185
Docteur Sacré,105966454083712
Docteur À Domicile,838158329689181
Doctor Nagi,100044336923783
Doctors Without Borders/Medecins Sans Frontieres (MSF),605582973434788
Dodd's Furniture and Mattress,118165051597995
Dodge Canada,110860425640961
Dog & Cat Hospital Ltd,118479171521606
Dog Blood,355007921235294
Dog House Ink Tattoos and Body Piercing Canada,141529519227812
Dog Shaming,112273355587913
Dog Tales Rescue and Sanctuary,350332985124332
DogHeirs,267827730949
DogQuality.com,53139982201
DogTown,102687673447745
DogVills,1387153674906318
Doggie Detailing,105637119482897
DoggoRamps,2088668414712697
Doggy Bathroom,672661292912960
Dogs Naturally Magazine,185166891515318
Dogs are family,218621588202473
Dogtopia,225313925113
Dogue Shop,100554703355336
Dogwood BC,78753328415
Doiron Sports Excellence,308405819257760
Doja Cat,384538594965626
Dolce Bella Spa,120674327963368
Dolche,417706204970316
Dole,264860480375402
Dollar Cinema,106838022679730
Dolly Momoiro,100045746858081
Dolly Parton,20470969754
Doly Begum,1337036399775081
Dom's Deodorant,1399484090264467
Domaine Château-Bromont,133844699963626
Domaine Forget de Charlevoix,400033360549
Domaine Joly-De Lotbinière,216454991704112
Domaine Labranche,207189209294853
Domaine Lafrance,138800319516794
Domaine SAM-CALM,135892689766423
Domaine Yamaska,375405082656725
Domaine du Grand-Portneuf,1484992591829002
Domanique Grant,167030976680357
Domeno,100045307193061
Dominic Arpin,100044443896050
"Dominic Bellavance, auteur",917010408371207
Dominic Cardy,349363372261280
Dominic Christian Owens,555371868224890
Dominic Dubreuil - Dom Dub,2108581676131400
Dominic Labelle - Physiothérapeute,100045028777334
Dominic LeBlanc,19671249720
Dominic Paquet,246272805398153
Dominic et Martin,100045152149285
Dominica Merola,324523574417484
Dominican Republic Tourism Toronto,1582780648640675
Dominion Church International - Toronto,1087765044638554
Dominion Credit Union,173390539443281
Dominion Outdoors,145167675501167
Dominion Services Int’l,1999780540088964
Dominion in Newfoundland and Labrador,2112038275744337
Dominique Anglade,1694841994085399
Dominique Doucette,1508848826057023
Dominique Fils-Aimé,331978383661404
Dominique Hudson,100044547154623
Dominique Maltais,1425142897728936
Dominique et compagnie,264689003609066
Domino's Pizza,72558494982
Domino's Pizza - North Etobicoke,564975917044207
Domino's Pizza - Oakville Burlington,878522198920566
Domino's Pizza Stratford,296787870392762
Domino's Pizza Terrace,679894992131263
Dominos Pizza,152417264799583
Don Amero,63729684100
Don Bradshaw - NTV News,100044227039709
Don Braid Politics,1192683624118484
Don Can Finance,126295304786228
Don Cherry's Pet Rescue Foundation,388087678010163
Don Davies,8223823389
Don Iveson,1048595841826503
Don Kalonga,337459742989333
Don MacPherson - Media,437467453311264
Don Q,282803038756432
Don Ross,100050584025106
Don Toliver,167502697277030
Don Valley North Lexus,136094879786710
Don Valley North Toyota,195275613819288
Don't Change Much,1408623802751253
Don't Damn Springbank,516780365121718
Don't Drink the Canadian Cool-Aid,272914719710420
Don't Drive Distracted- I Pinky Swear,1703756689840007
Don't Let Go Canada,1913916595567573
Don't tell me how to live my meme,547416689085964
Donald Guloien,100058020912398
Donald Martel - Député de Nicolet-Bécancour,437404966271387
Donald Trump WAS the worst President in History,139443329893115
Donmosjbat,437744343282627
Donna Grantis,100046765583865
Donna Shoes and Bags,671517689709837
Donnelly's On The River,265946133862222
Donnie Dumphy,100044802691222
Donny B,1522951157990509
Donny Hathaway,1375410639444040
Donny Lee,1470669923146985
Donovan Woods,100044472698114
Doo Doo's Bakery,100159767484
Doorway Drop,112944803704489
Dooryard Arts Festival,129319920432763
Dopamine Threads,362409167679937
Dope.gng,1237962409714033
Dopethrone,100044377721357
Doppio Zero Pizza,145001165959760
Dorchester & District Lions Club,189331294577921
Doreen Assaad - Mairesse de Brossard,482163068652620
Dorian Electra,123886667718712
Doritos,60627332960
Dormer211,373705759705107
Dormez-vous,413704378702587
Dorothy Shephard,729186910474663
Dorset Tea,231829870200373
Doru Octavian Dumitru,190277424336803
Dos Hermanos Show,330481351193736
Dose Juice,127461194127326
Dosti Eats,1131691973660635
Dot Kiwi Ltd,410515238971330
Dot Sucks Domains,1778669045689660
Dotto Tech,206473818939
DoublageQc,1066774700064577
Double Date With Death,777855152232494
Double Experience,10542151839
DoubleTap Sports,113601022071379
DoubleTree By Hilton West Edmonton,447928665231537
DoubleTree by Hilton Montreal,149692342969
Douceurs et Gourmandises,491508854239823
Doug Downey,187718638326924
Doug Eyolfson,1582886865294457
Doug Ford Resign Movement,270021830352455
Doug Ford's spicy meme silo,158027691513270
Doug Gilmour,100044382581122
Doug Hawco Music,210456152456091
Doug Meola's DrumSpot,161152603963289
Doug Miller Natural Pro,274773732704911
Doug Savage Comics,100044527622481
Doug Schweitzer,1844819852443990
"Doug Shipley, MP",367741550541271
Doug Tarry Homes,261902533942052
Doug and the Slugs,704190549618421
Doug_the_Dictator,449798555529455
Dougald Lamont- Manitoba Liberal Leader chef du parti Libéral du Manitoba,1940087669537764
Douglas College,82766014407
Doupando - Livre Bonne Nuit,1107862385994420
Douteux,265141843573411
Dove,344549858967314
Dovey Magnum,100881448156515
Down I Go,15181134191
Down Memory Lane,1598936607026951
Down Syndrome Resource Foundation,109779455702001
Down With Federal Liberals,327118410659384
Down With Webster,22330280832
"Down syndrome awareness, advocacy and acceptance",127966600680843
Down the Lees,14199697749
Down the pub podcast,106015807441332
Down to Earth Gardens and Nursery,163501163700036
Downchild,425276924262446
Downey's Farm,1055155094521919
Downhill Karting by Skyline Luge Calgary,337383159676111
Downie Wenjack Fund,1167218306692910
DownieLive,109952489640575
Downtown Association SSM,107865479263001
Downtown Bank,160083887440114
Downtown Barrie Business Association (BIA),301502476599635
Downtown Brockville,388853559600
Downtown Calgary,97868871545
Downtown Camera Ltd.,129762543752169
Downtown Charlottetown Inc.,174918569233446
Downtown Cobourg,141598012544758
Downtown Courtenay,341133789659
Downtown Dartmouth Business Commission,384586748266313
Downtown Duncan,416079415485
Downtown Elmira BIA,133839780033989
Downtown Fredericton,91668626885
Downtown Gananoque,108167129258840
Downtown Guelph,14741682954
Downtown Halifax,97567821178
Downtown Hotel,1453778318184671
Downtown Kamloops,252247668158245
Downtown Kelowna,118182278194765
Downtown Kingston!,152463788887
Downtown Kitchener BIA,251192113469
Downtown London,194104319683
Downtown Marina Kelowna,258444914333577
Downtown Milton,90632140683
Downtown Moncton Centre-ville,129514223785656
Downtown New Westminster,122461081107666
Downtown Niagara Falls,336711283444
Downtown North Bay,1405061596490750
Downtown Orangeville,190632801044863
Downtown Owen Sound,184922271567598
Downtown PG,206901079358892
Downtown Penticton,128381794872
Downtown Peterborough,303108729799487
Downtown PoCo BIA,261521467195603
Downtown Port Hope,137602772926893
Downtown Quesnel,118630148159953
Downtown Salmon Arm,113667725386569
Downtown Squamish,68602620858
Downtown St. John's,152074351497467
Downtown Sudbury,168309726575953
Downtown Summerside,137226726346150
Downtown Thorold,426596457391202
Downtown Tillsonburg BIA,258672274268077
Downtown Vancouver,153074774711216
Downtown Vernon Association,124378350918690
Downtown Victoria Business Association,112637195438389
Downtown Whitby BIA,296433057179810
Downtown Williams Lake BIA,167690689004
Downtown Winnipeg BIZ,116619878197
Downtown Woodstock BIA,235751373207919
Downtown Yonge BIA,129986034347
Doyle Dodge Chrysler Jeep Ram,111036212299893
Doyon Després,293703847332085
Dr Anto Youssef,137204936161
Dr B.J. Hardick,517692661621707
Dr Bonaparte - Ottawa Head and Neck and Cosmetic Surgery,559675867501673
Dr Cobi,367554486667517
Dr Drone,1571453456462358
Dr Eric Sabbah_ Covid-19,580971162587691
Dr Fiona McCulloch ND,149148031787391
Dr Gautam Ghosh,115834431914829
Dr Howard Fisher,123201921082452
Dr Java's Coffee House,141937412515086
Dr Jay de Soca Prince,15842216993
Dr Jordan B Peterson,145917588805718
Dr Lamouss,832442483761313
Dr M Health Corner,2161078514112113
Dr Mike Hart,100050530417335
Dr Mohammad Rastegarpanah,130151107063340
Dr Rose Backman,239643188428
Dr Salaheddine Rafalia - د.صلاح الدين الرفالية,103110331098571
Dr Saïd Radhouani - Live Your Passion.,104257497774712
Dr Sophie Maffolini,1565006373808401
Dr V Mohan,105550504390258
"Dr Vanessa Lapointe, R Psych",100044249146208
Dr and Master Sha,12614691001
Dr engineer ent.,1874888159287013
Dr. Andrew Jones - Veterinary Secrets,164391186931521
Dr. Andrew Moulden,618136528243077
Dr. Anmol Singh Kapoor,1506433599604517
Dr. Asaad Ali Hassan,579251728806978
Dr. Bass Msb,112375697105896
Dr. Ben Kim,172806806738
Dr. Big E. Cheese's walk-in meme clinic,314558985730779
"Dr. Brent Howley, Plastic & Cosmetic Surgeon",165320810151262
Dr. Carin Bondar - Biologist With a Twist,193162710726173
Dr. Chris Thomson,898543080204645
Dr. Darrell Wolfe,1457447671152590
Dr. Debra Soh,1249257791804035
Dr. Dena Churchill - Innovator in Women's Health & Wellness,139579619411170
Dr. Disc Records,12347616759
Dr. Douglas Villarroel,249027015119630
Dr. Draw,187391547960749
Dr. Farhang Holakouee,63498261745
Dr. Fatlah,471356499543418
Dr. Feng Chong - Plastic Surgery Alberta,276566182372608
Dr. Flea's Flea Market,1506123019639579
Dr. H. Bliss Murphy Cancer Care Foundation,153773457910
Dr. Hala Al Yamani - د. هالة اليماني,411259915652367
Dr. Hamidou Mamadou Abdou,102890958031258
Dr. Hedy Fry,6172639058
Dr. Ingrid Mattson,31176250469
Dr. James Coffey Dermatology Clinic,521347661296067
"Dr. James L Chestnut MSc, DC, CCWP",101852609908112
Dr. Jess Sexologist,100044563805748
Dr. Joanne Liu,100046770053887
Dr. John Berardi,204046486326276
Dr. John Haggie,626828230729985
Dr. Leslyn Lewis,100222008179889
Dr. Matt's Haida Gwaii Covid-19 Page,106386887677199
Dr. Miguna Miguna,471985672990818
Dr. Moondust,482361501949583
Dr. Oetker Canada,131277836884991
Dr. Patrick Isaac,193212447403691
Dr. Peter Dobias - Natural Healing for Dogs,189604612729
Dr. Raymond Fraig Courses,199749073510967
Dr. Raza,1668221353450563
Dr. Rob Joseph - Dentist,134236060104973
"Dr. Robert Kitchen, MP",142218069538149
"Dr. Rodger Shortt - Plastic Surgeon, FRCSC",462171750590816
Dr. Sandra McGill,190788901025708
"Dr. Sarah Hardy Walsh, ND, IBCLC",114752691933951
Dr. Serge,233952603963590
Dr. Sous,114304936668260
"Dr. Stephanie Cordes ND, Guelph Naturopathic Doctor",423954104285372
Dr. Stephanie Estima,109914562379692
Dr. Sue Johnson,100044672634327
Dr. Sun Yat-Sen Classical Chinese Garden,98670908981
Dr. Tom Philip Thomas,1389131694527920
Dr. V. William Papanastasiou,309428095892018
Dr.Jack Newman,138141916336863
Draft Tournament,171011579671759
Dragana Jovic,1308857225791455
Dragfest,220723321595654
Dragon 88,242509907717
Dragon Ball Corps,110401273932584
Dragon Boat BC,202936856415566
Dragon City Buffet,144003205635024
Dragon Fli Empire,9008350169
Dragon Moon Gifts,176266040856
Dragon Veterinary,1033382283403746
DragonEye_Cb7,521084195061638
Dragone,531177800344785
Dragonfly Golf Links,197737929345
Dragons Makosla,329667684087444
Dragons' Den,9885974987
Drain the Trump,113106883782882
Drake Jensen,100045876005487
DrakeFeelings,563026114065921
Dramatik,102194486485370
Drax Project,325806970863910
Drayton Entertainment,121944287874794
Drayton Harbor Oyster Company,203882179808964
Drbeen,599581106824727
Dreality Souvenirs,917229095042804
Dream Big Swim Academy,872239852845594
Dream Cymbals,259193772381
Dream Sounds,211140186187464
Dream Touch Fashion,1392408794317371
Dream it Believe it Live it,1909803222380676
"Dream it, Win it",199520143410218
Dream wild and free,238056387060438
DreamDoll,568919253309236
DreamHack Canada,1283624874986367
DreamLife Lottery,133654240003534
DreamWorks Dragons: Titan Uprising,1920022408063726
Dreamland VR,161824354559178
Dreams Becoming Reality Marketing,125208477496046
Dreams Gate Entertainment,1919968464938845
Dreams Take Flight,415926561769417
Dreamscape Farm,212251840734
Dreamville,320592391337926
Dreamville Festival,1989259977999060
Dreena Burton,260878040651278
Dreezy,100044578892903
Drenalin Adventures,120149025313796
Dress911,279822830252
Dressed to Deliver Birthing Gowns & Nursing,191769534176448
Drette su'l tape,1638033173190906
Drew Barnes,137754836268705
Drew Dalby,135304713238873
Drew Gregory,100058303441825
Drezus Music,100046940443915
Driediger Farms Market,153814784665273
DrinkPartake,998166693663435
Drisana Levitzke-Gray,815251001863018
Drive,696416917474615
Drivenshow,356959291087126
Driving Fun & Family Car Reviews,2065787143733742
Driving With Steve,104145331054378
Driving with Jules,863111643721373
Drizzle Honey,1621495941463066
Drizzle me skinny,100044186028547
Droit-inc.com,212721332076824
DroneHub,1624431371122713
Droold,388212524543344
Drop,843526189078221
Droppin' HZ Car Audio,161707750684567
Drouin et Frères Inc.,267529156702468
Drowning,1777961532516838
Drs Richard et Valérie Lavoie Optométristes,466525063538232
"Drs. Wood, Lombardozzi & Dunlevy  Pediatric Dentistry",142601409136295
Druh Farrell,477554175653199
Druid,137508053001954
Drumeo,147910631975223
Drummond Fire Dept. 50/50 Loto,105896152766995
Drummondville Marine,193744217399691
Drunk driving kills and ruins lives,1712181465725377
Druthers News & Information,100429971878806
Dry County,100050169653210
Dry Parlour Inc.,582301038519289
Dryden Police Service,225970137420106
Drywall Nation,752985761391703
Drôle de Bazar,130734607332457
Drôle de Talent,830049833784141
Dskate Hockey,148757268632113
Dstrkt,2162673277319096
Du Bon Manger,666706283342713
Du côté de chez Catherine,200932433301251
Du jardin dans ma vie,147429875328849
DuProprio,55250080420
Dua Lipa,123471471072112
Dua request,344137788984805
Dual Universe,247958025376577
Duane Andrews,6497578999
Duava,1263986076967281
Dub Afrika,100047073946864
Dubarah,564780280216692
Dublin Creek Kennels,422020490280
Dubmatix,100044462558304
Dubrule Electrical and Automation Ltd.,708004352601268
Dubstep Mag,288264444618402
Dubé Designs,113974571982833
Ducharme Elementary School,327350530987347
Ducharme Motors,311917535579
Ducks Feed,1670115093298148
Ducks Unlimited British Columbia,798817933533702
Ducks Unlimited Canada,49370559799
Dufferin Board of Trade,235313033156900
Dufferin County Emergency Management,307134772663206
Dufferin County Firearm Courses,1551312995109253
Dufferin County Waste Services,244523642332745
Dufferin Mall,74197448385
Dufferin-Peel Catholic District School Board,104008684341237
Dufort Traiteur et salle de réception,360071820739877
Dufresne Furniture & Appliances,1848959925358195
Dufresne Furniture & Appliances,193099617400116
Duguay Sports,135726623105222
Duhok City,1408279249421182
Duinkerken Foods,196406380369632
Dumarka iyo dhalanka Mms,472852229926394
Dumas,100044601212118
Dumb Unit  / Jeremy P Caulfield,85724123680
Dumoulin's,209159188925
Dump Trump,211071695964427
Dump the Trump Buy Canadian,208210956462052
DunRoamin' Stray and Rescue,291500630973601
Dunai • Дунай,242331270122
Duncan Dodge Chrysler Jeep Ram,148049308589018
Duncan Fire Department,115291751894914
DuncanKeith.com,213441028711811
Duncanby Lodge,323542898711
Dundalk Fire Department,228757304157498
Dundas Museum and Archives,95268393274
Dundas Plowing Match,160218050673785
Dundurn Press,78083501234
Dungeon Dudes,1941626932785567
DunnEnzies Pizza Co.,147547258642100
Dunnville Hospital & Healthcare Foundation,128141207198027
Dunvegan Gardens (FSJ),408110395869828
Dunvegan Gardens (GP) Ltd.,114435979552
Dunya Beirut,678977108845257
Dupont & Dupont Ford,164383080261541
Dupont Auto Alma,928791477204214
Dur à Cuire,516974201700733
Durango Blues Train,207567682611933
Durham Catholic District School Board,124498987628845
Durham College,33363717070
Durham County Poets,476893898993312
Durham Dental Centres,1465803207041216
Durham District School Board,447874875238636
Durham ETFO,318663524908144
Durham Nuclear Awareness,204543052959109
Durham Radio News,123127047705023
Durham Regional Police Service,335013756597302
"Durham Tourism -- Durham Region, Ontario, Canada",124316574271546
DurhamPost,840937549610700
Dusk2Dawn Productions,115276998490648
Dusty Woodworks & Design,104181221416544
Dutailier,118079024921249
Dutch Boys Chocolate,197312314183632
Dutchavelli,158504837929853
Duterte-Marcos 2016-2022,427008220818331
Duuo On-Demand Insurance,264889674363409
Duzan Construction,109102289557160
Dwayne De Rosario,71640519262
Dwayne Gretzky,181744291899375
"Dwight Ball, 13th Premier of Newfoundland and Labrador",527424950656368
DxE Montréal,506931459445003
Dying With Dignity Canada,197337921788
Dylan Brady,100044443175871
Dylan Cartlidge,446712142343326
Dylan Conrique,100044223244472
Dylan Holton,180232455263
Dylan Is Chillin,108756417566117
Dylan Joshua Page,1772429726350156
Dylan Menzie,251662768309243
Dylan Phillips,111701747171882
Dylan Ryche Music,185482518204235
Dylan Scott,290797167682823
Dylan Wang 王鹤棣,100047042174499
Dynamic Shift Consulting Inc.,231773733647982
Dynamique Auto Son - Performance,339315588575
Dynamite,75353339652
Dynamixs GOLD 18K 21K 22K 24K,1503472876594784
Dynastie Hyundai,391584034308958
Dynasty Curling Apparel,1614052192208375
Dyslexia Canada,1846441248912094
Dysthymia On A Dime,100044367941913
DÉBAT D'AFRIQUE,180053559190191
DÉLICES D'AUTREFOIS,577335285703821
Décathlon Centre Eaton,442871559835299
Décathlon Sainte-Foy,2121978821166660
Déclaration d'Urgence Climatique-DUC - Climate Emergency Declarations,613098332423206
Déco Surfaces Mont-Tremblant,336002386504186
Déco Surfaces Planchers Design Val D'Or,1397067773929014
Déconome,100044407390177
Décoration King,118828308179053
Décors Véronneau,425933137463097
Découvrir Les Moulins Terrebonne Mascouche,138116176231853
Défi 100 % local,618612724948230
Défi 28 jours sans alcool / 28 Days Sober Challenge,245567852275112
Défi Entreprises,125689847489018
"Défi J'arrête, j'y gagne !",202416827772
Défi têtes rasées Leucan,175734552444637
Défi-Évasion  -  Jeux d'évasion Québec & Lévis,781473161942768
Défilé de la Saint-Patrick de Québec,108487252553364
"Définitivement, Pierre.",100045636611202
Délices du Lac-Saint-Jean  Économusée,1378137705784560
Délégation générale du Québec à Paris,117663311624077
Délégation générale du Québec à Tokyo ケベック州政府在日事務所,1541586046120014
Délı̨nę Got’ı̨nę Government,1435386666673021
Démission de Jean Charest,321181427950962
Déménagement Brien Moving,286717085568466
Dénonciation Politique,1223839464396049
Dépanneur Lac des Cèdres,315439061898125
Département des moments,100047019641213
Désirée,1449742571704806
Dévah Quartet,121963374500679
Développement et Paix - Caritas Canada,317942278985
Développement international Desjardins - DID,565172323643186
Dîner en Blanc - Atlanta,456183127830337
Dîner en Blanc - Philadelphia,176510249078339
Dîner en Blanc - San Diego,130507383724756
Dômes Charlevoix,1615604505127389
E. Brian Rose Unfiltered,1777243752544673
E.T. Mechanical Ltd,181831091868972
E3 Community Services Inc,1529353600718545
E30WorldWide,185092835229985
E47 Éco Sentiers,1016370298383174
EA Youtube Updates and Policies,385478055383841
EAZYE,479156265496949
EB Games Canada,274208315998
EBEN,274277389302446
EBOX - Fournisseur Internet / Internet Provider,205399742853351
ECA Review,402487693164289
ECADF Ethiopian News,127102053997588
ECHO Power Equipment (Canada),355771969150
ECHOage,80497672589
ECS Coffee Inc.,90682919776
ECW Press,198484446163
EDDY GANJA,201536179917239
EDM Montreal,1418569108456501
EDMR TV,958470497554187
EDO Cultural in Ottawa,220686484729518
EDO HOUSE,448012635245916
EDUCHATEUR - Comportement Félin,152513571797
EDWARD ZO,190893234283009
EDiT - Education in Transformation,190570704949094
EE Football Team,76035855419
EG Auctions - egauctions.com,169592976413781
EGGERTSPIELE,109682907248
EHN Canada,1607907595914969
EKOD-Music,1749922851902074
ELEOS INTL,664502183758394
ELISA C-ROSSOW,133151016697123
ELITE Student Athlete Academy,107054070795797
ELLE Canada,72409964761
ELLE QUÉBEC,97310144747
ELSM RADIO,135358809839151
ELYSIA ROTARU,129538297082723
EM-SportScience,174520961109
EMCI TV,365057285222
EMM - Evangelical Multi Media,104038371292527
EMOS UNITE,129166580503514
EMPIRE,143098479042687
ENAP-École nationale d'administration publique,111451255542610
